order_id,order_date,ship_date,order_status,customer_id,product_id,product_name,category,sub_category,quantity,unit_price,sales,discount,profit,state,country,region,shipping_mode
ORD100029,2023-03-10,2023-03-15,Shipped,CUST3658,PROD515,Women Product,Fashion,Women,1,32.82,32.82,0.94,27.28,Delhi,France,North,Second Class
ORD100030,2023-08-03,2023-08-09,Cancelled,CUST6247,PROD695,Furniture Product,Home & Kitchen,Furniture,2,316.79,633.58,2.85,550.52,Bavaria,Singapore,East,Same Day
ORD100031,2023-01-14,2023-01-20,Delivered,CUST6487,PROD728,Non-Fiction Product,Books,Non-Fiction,5,351.27,1756.35,31.23,1244.0,Karnataka,Italy,North,Standard
ORD100032,2024-06-05,2024-06-08,Delivered,CUST9676,PROD847,Education Product,Books,Education,2,60.34,120.68,20.29,82.7,Bavaria,France,West,Second Class
ORD100033,2023-04-27,2023-05-02,Returned,CUST4140,PROD877,Decor Product,Home & Kitchen,Decor,1,80.62,80.62,17.42,47.73,Delhi,Canada,West,Standard
ORD100034,2024-04-21,2024-04-27,Cancelled,CUST6718,PROD571,Furniture Product,Home & Kitchen,Furniture,5,83.08,415.4,40.09,269.4,Tamil Nadu,Italy,East,Second Class
ORD100035,2023-11-27,2023-12-02,Shipped,CUST6541,PROD559,Education Product,Books,Education,2,495.52,991.04,266.51,584.33,Texas,Germany,East,Second Class
ORD100036,2023-11-28,2023-11-30,Cancelled,CUST2392,PROD300,Fitness Product,Sports,Fitness,2,412.42,824.84,173.66,424.23,Karnataka,USA,East,Second Class
ORD100037,2024-11-19,2024-11-20,In Transit,CUST4564,PROD373,Laptop Product,Electronics,Laptop,5,144.25,721.25,63.91,452.45,California,UK,West,Second Class
ORD100038,2024-06-08,2024-06-09,Cancelled,CUST1969,PROD694,Non-Fiction Product,Books,Non-Fiction,5,495.26,2476.3,389.8,1715.1,Queensland,Australia,West,Same Day
ORD100039,2023-03-19,2023-03-20,Cancelled,CUST3581,PROD341,Outdoor Product,Sports,Outdoor,4,70.4,281.6,25.63,221.0,Texas,Canada,West,Standard
ORD100040,2023-04-03,2023-04-06,Delivered,CUST2488,PROD560,Women Product,Fashion,Women,2,132.61,265.22,47.7,175.07,California,UAE,Central,Standard
ORD100041,2024-07-09,2024-07-15,Delivered,CUST8013,PROD158,Laptop Product,Electronics,Laptop,1,58.1,58.1,0.78,48.48,Karnataka,France,North,Same Day
ORD100042,2024-08-16,2024-08-17,Shipped,CUST4640,PROD523,Women Product,Fashion,Women,1,186.31,186.31,5.57,151.27,Bavaria,Italy,North,Same Day
ORD100043,2023-12-30,2024-01-05,In Transit,CUST9125,PROD405,Men Product,Fashion,Men,2,14.13,28.26,4.55,16.81,Texas,Australia,East,Standard
ORD100044,2024-02-01,2024-02-06,In Transit,CUST3776,PROD999,Laptop Product,Electronics,Laptop,3,149.15,447.45,11.15,372.84,Queensland,Germany,East,Second Class
ORD100045,2024-03-27,2024-03-29,In Transit,CUST7451,PROD962,Decor Product,Home & Kitchen,Decor,2,183.95,367.9,15.85,306.23,Tamil Nadu,Canada,Central,First Class
ORD100046,2023-11-27,2023-12-01,Cancelled,CUST7924,PROD572,Men Product,Fashion,Men,2,243.72,487.44,141.06,210.35,Karnataka,UK,West,Same Day
ORD100047,2024-11-04,2024-11-06,Returned,CUST2415,PROD610,Outdoor Product,Sports,Outdoor,2,201.72,403.44,42.26,294.33,Ontario,Singapore,North,Second Class
ORD100048,2024-01-26,2024-01-27,Cancelled,CUST7153,PROD771,Accessories Product,Electronics,Accessories,4,306.59,1226.36,132.77,747.13,Queensland,Germany,Central,Second Class
ORD100049,2024-04-28,2024-05-04,In Transit,CUST6638,PROD741,Fitness Product,Sports,Fitness,2,101.5,203.0,54.48,118.48,Maharashtra,Canada,North,Same Day
ORD100050,2023-07-25,2023-07-28,Cancelled,CUST9164,PROD936,Outdoor Product,Sports,Outdoor,2,361.59,723.18,55.89,457.12,Karnataka,Australia,North,Second Class
ORD100051,2023-04-30,2023-05-01,Cancelled,CUST6481,PROD128,Indoor Product,Sports,Indoor,4,419.08,1676.32,332.9,1069.64,Maharashtra,Italy,North,Standard
ORD100052,2023-07-10,2023-07-16,Cancelled,CUST9375,PROD506,Outdoor Product,Sports,Outdoor,5,167.78,838.9,202.05,389.9,New York,Canada,Central,Second Class
ORD100053,2024-05-23,2024-05-28,Returned,CUST5979,PROD678,Mobile Product,Electronics,Mobile,4,64.56,258.24,27.15,155.03,Tamil Nadu,Australia,Central,Standard
ORD100054,2023-08-22,2023-08-24,Delivered,CUST7269,PROD920,Accessories Product,Electronics,Accessories,5,19.81,99.05,7.76,75.96,Queensland,Germany,West,First Class
ORD100055,2024-02-06,2024-02-08,In Transit,CUST7510,PROD969,Education Product,Books,Education,5,190.47,952.35,38.98,710.93,Maharashtra,France,North,Second Class
ORD100056,2024-08-27,2024-08-30,Cancelled,CUST7630,PROD353,Outdoor Product,Sports,Outdoor,2,145.36,290.72,46.47,202.48,Tamil Nadu,UAE,South,Standard
ORD100057,2023-11-24,2023-11-25,Returned,CUST8838,PROD120,Indoor Product,Sports,Indoor,5,350.71,1753.55,29.58,1319.8,Maharashtra,Australia,Central,Same Day
ORD100058,2023-12-21,2023-12-28,Cancelled,CUST1501,PROD446,Men Product,Fashion,Men,1,95.93,95.93,10.43,69.29,Delhi,India,South,Standard
ORD100059,2023-03-21,2023-03-23,Delivered,CUST8120,PROD991,Appliances Product,Home & Kitchen,Appliances,4,376.63,1506.52,373.7,922.8,Maharashtra,UK,West,First Class
ORD100060,2023-10-18,2023-10-20,Delivered,CUST9992,PROD901,Laptop Product,Electronics,Laptop,4,385.99,1543.96,19.09,1265.83,Karnataka,Brazil,Central,First Class
ORD100061,2023-12-19,2023-12-25,Shipped,CUST7480,PROD613,Non-Fiction Product,Books,Non-Fiction,2,356.19,712.38,49.19,555.94,Delhi,UK,South,First Class
ORD100062,2023-10-12,2023-10-18,Cancelled,CUST7747,PROD364,Men Product,Fashion,Men,2,359.74,719.48,190.6,327.92,New York,USA,West,Same Day
ORD100063,2023-10-14,2023-10-15,In Transit,CUST9398,PROD580,Non-Fiction Product,Books,Non-Fiction,2,464.37,928.74,4.47,770.92,New York,Australia,Central,Second Class
ORD100064,2023-01-21,2023-01-22,Returned,CUST2247,PROD134,Education Product,Books,Education,4,7.92,31.68,6.53,20.49,New York,UK,North,Second Class
ORD100065,2023-04-04,2023-04-07,Shipped,CUST3647,PROD557,Kids Product,Fashion,Kids,4,335.78,1343.12,213.61,961.63,Texas,UAE,North,Second Class
ORD100066,2023-05-01,2023-05-04,Cancelled,CUST6696,PROD610,Non-Fiction Product,Books,Non-Fiction,4,390.6,1562.4,84.15,1012.95,Delhi,Singapore,East,First Class
ORD100067,2023-05-19,2023-05-24,In Transit,CUST5787,PROD624,Women Product,Fashion,Women,1,392.65,392.65,3.55,329.73,Karnataka,Canada,South,First Class
ORD100068,2024-03-24,2024-03-31,In Transit,CUST1688,PROD662,Non-Fiction Product,Books,Non-Fiction,2,221.27,442.54,66.95,298.8,California,Singapore,Central,First Class
ORD100069,2023-04-08,2023-04-15,Returned,CUST9650,PROD655,Fiction Product,Books,Fiction,1,395.02,395.02,43.81,295.73,Texas,Canada,North,First Class
ORD100070,2024-06-11,2024-06-14,Returned,CUST8307,PROD638,Decor Product,Home & Kitchen,Decor,3,349.01,1047.03,4.19,809.07,Delhi,UAE,North,Standard
ORD100071,2024-12-14,2024-12-20,Returned,CUST6515,PROD123,Accessories Product,Electronics,Accessories,5,145.2,726.0,47.46,555.76,Texas,Australia,West,First Class
ORD100072,2024-06-04,2024-06-11,Returned,CUST6864,PROD733,Mobile Product,Electronics,Mobile,1,392.33,392.33,24.03,314.77,Ontario,UK,North,Standard
ORD100073,2024-11-18,2024-11-19,Delivered,CUST9468,PROD705,Outdoor Product,Sports,Outdoor,2,461.03,922.06,265.41,462.54,Tamil Nadu,Japan,East,First Class
ORD100074,2023-12-03,2023-12-08,Returned,CUST2678,PROD405,Fitness Product,Sports,Fitness,5,343.6,1718.0,158.28,1167.67,Queensland,UAE,South,Standard
ORD100075,2024-12-05,2024-12-12,In Transit,CUST4345,PROD479,Non-Fiction Product,Books,Non-Fiction,5,171.26,856.3,42.32,711.27,Bavaria,UAE,East,Same Day
ORD100076,2023-09-04,2023-09-08,Delivered,CUST3446,PROD151,Women Product,Fashion,Women,1,71.22,71.22,19.73,41.94,Delhi,France,South,First Class
ORD100077,2023-08-28,2023-09-04,Cancelled,CUST9927,PROD696,Men Product,Fashion,Men,5,281.28,1406.4,233.9,962.69,Ontario,Japan,East,Standard
ORD100078,2023-07-03,2023-07-05,Returned,CUST7283,PROD577,Women Product,Fashion,Women,4,158.43,633.72,104.17,378.14,Bavaria,USA,North,Same Day
ORD100079,2023-01-11,2023-01-14,Delivered,CUST3389,PROD800,Appliances Product,Home & Kitchen,Appliances,3,29.56,88.68,23.57,41.26,Maharashtra,UK,South,Same Day
ORD100080,2023-10-01,2023-10-02,Delivered,CUST8496,PROD950,Outdoor Product,Sports,Outdoor,5,233.21,1166.05,5.43,928.87,Tamil Nadu,Canada,Central,Second Class
ORD100081,2023-11-18,2023-11-23,Cancelled,CUST5243,PROD115,Appliances Product,Home & Kitchen,Appliances,1,405.59,405.59,89.43,241.2,Bavaria,Australia,East,Same Day
ORD100082,2023-08-17,2023-08-19,Delivered,CUST7183,PROD667,Indoor Product,Sports,Indoor,2,439.4,878.8,17.31,722.42,Tamil Nadu,UK,East,Standard
ORD100083,2024-05-08,2024-05-14,Cancelled,CUST4870,PROD142,Indoor Product,Sports,Indoor,1,401.4,401.4,44.2,243.75,Maharashtra,France,Central,Same Day
ORD100084,2023-08-01,2023-08-03,Cancelled,CUST7645,PROD512,Laptop Product,Electronics,Laptop,2,233.25,466.5,71.28,338.53,Queensland,Italy,Central,Second Class
ORD100085,2024-03-02,2024-03-09,Delivered,CUST8541,PROD603,Furniture Product,Home & Kitchen,Furniture,3,43.51,130.53,36.19,66.49,Karnataka,UAE,Central,First Class
ORD100086,2024-05-07,2024-05-14,Shipped,CUST6288,PROD463,Women Product,Fashion,Women,2,399.46,798.92,111.5,540.88,New York,Canada,North,First Class
ORD100087,2024-07-19,2024-07-24,In Transit,CUST3541,PROD666,Accessories Product,Electronics,Accessories,4,85.17,340.68,93.52,176.62,Texas,USA,North,Second Class
ORD100088,2024-08-23,2024-08-25,Shipped,CUST6912,PROD926,Kids Product,Fashion,Kids,1,246.55,246.55,41.14,180.0,Maharashtra,UK,East,First Class
ORD100089,2024-11-29,2024-12-03,Cancelled,CUST5755,PROD204,Non-Fiction Product,Books,Non-Fiction,5,242.16,1210.8,225.74,658.69,Queensland,France,South,Standard
ORD100090,2024-02-22,2024-02-27,Cancelled,CUST1148,PROD660,Decor Product,Home & Kitchen,Decor,3,112.54,337.62,73.27,181.07,Karnataka,Germany,West,Same Day
ORD100091,2024-02-01,2024-02-04,Delivered,CUST7624,PROD819,Laptop Product,Electronics,Laptop,3,190.82,572.46,58.64,357.55,Tamil Nadu,France,Central,Standard
ORD100092,2023-01-18,2023-01-21,Cancelled,CUST1658,PROD963,Non-Fiction Product,Books,Non-Fiction,3,119.31,357.93,74.66,225.18,New York,Japan,South,Same Day
ORD100093,2024-09-21,2024-09-25,In Transit,CUST8953,PROD249,Women Product,Fashion,Women,1,160.53,160.53,23.42,107.41,California,Brazil,North,Same Day
ORD100094,2023-04-25,2023-04-26,In Transit,CUST3721,PROD777,Indoor Product,Sports,Indoor,2,46.12,92.24,10.69,56.68,California,Australia,North,Second Class
ORD100095,2024-11-29,2024-12-01,Returned,CUST9833,PROD894,Women Product,Fashion,Women,5,448.7,2243.5,1.83,1784.29,Queensland,Japan,North,First Class
ORD100096,2024-02-28,2024-03-04,Delivered,CUST6285,PROD698,Fitness Product,Sports,Fitness,3,318.66,955.98,69.52,778.71,Karnataka,Singapore,South,Second Class
ORD100097,2023-12-27,2024-01-01,Returned,CUST4176,PROD596,Furniture Product,Home & Kitchen,Furniture,1,15.48,15.48,2.11,10.67,Maharashtra,Australia,West,Second Class
ORD100098,2024-02-20,2024-02-21,Shipped,CUST7833,PROD159,Non-Fiction Product,Books,Non-Fiction,3,108.65,325.95,37.05,217.73,Tamil Nadu,UAE,North,First Class
ORD100099,2023-06-05,2023-06-10,Delivered,CUST1910,PROD202,Laptop Product,Electronics,Laptop,4,286.91,1147.64,190.34,841.16,Queensland,Australia,Central,First Class
ORD100100,2024-12-13,2024-12-14,Returned,CUST3677,PROD417,Kids Product,Fashion,Kids,2,436.15,872.3,41.69,724.1,Queensland,Australia,Central,Standard
ORD100101,2023-05-10,2023-05-13,Shipped,CUST6016,PROD315,Kids Product,Fashion,Kids,4,425.42,1701.68,271.32,930.51,Maharashtra,Singapore,North,Same Day
ORD100102,2024-01-01,2024-01-03,Shipped,CUST8110,PROD244,Indoor Product,Sports,Indoor,1,5.55,5.55,1.25,2.64,Bavaria,Australia,South,First Class
ORD100103,2024-12-12,2024-12-14,Cancelled,CUST6548,PROD980,Outdoor Product,Sports,Outdoor,2,335.85,671.7,104.04,382.0,Queensland,USA,East,First Class
ORD100104,2023-09-26,2023-09-30,Returned,CUST8895,PROD929,Kids Product,Fashion,Kids,4,317.53,1270.12,310.78,583.26,Maharashtra,Germany,North,Same Day
ORD100105,2024-12-28,2025-01-01,In Transit,CUST5083,PROD757,Outdoor Product,Sports,Outdoor,1,111.05,111.05,2.28,92.44,Texas,UAE,East,Same Day
ORD100106,2023-02-04,2023-02-06,Returned,CUST5956,PROD298,Women Product,Fashion,Women,1,236.06,236.06,70.52,129.91,Bavaria,UAE,Central,Same Day
ORD100107,2024-12-14,2024-12-18,Shipped,CUST6249,PROD479,Mobile Product,Electronics,Mobile,1,30.21,30.21,4.2,21.93,New York,USA,North,First Class
ORD100108,2023-07-05,2023-07-07,In Transit,CUST8949,PROD777,Decor Product,Home & Kitchen,Decor,1,467.66,467.66,95.97,308.77,California,Singapore,Central,First Class
ORD100109,2024-02-05,2024-02-07,Cancelled,CUST9696,PROD533,Indoor Product,Sports,Indoor,5,82.44,412.2,80.2,235.78,Ontario,UAE,South,Second Class
ORD100110,2024-06-17,2024-06-22,Returned,CUST3706,PROD948,Indoor Product,Sports,Indoor,2,124.75,249.5,53.46,169.79,Maharashtra,Germany,East,First Class
ORD100111,2023-05-08,2023-05-13,Returned,CUST2971,PROD520,Kids Product,Fashion,Kids,4,446.55,1786.2,447.23,955.46,Ontario,Australia,Central,Second Class
ORD100112,2023-03-05,2023-03-10,Delivered,CUST3866,PROD400,Fiction Product,Books,Fiction,5,315.64,1578.2,47.31,1169.17,Bavaria,Italy,Central,First Class
ORD100113,2023-11-01,2023-11-02,Shipped,CUST4827,PROD637,Education Product,Books,Education,4,344.51,1378.04,30.94,1192.62,Bavaria,Singapore,East,Second Class
ORD100114,2023-05-14,2023-05-21,Shipped,CUST2621,PROD953,Accessories Product,Electronics,Accessories,2,122.41,244.82,25.64,186.8,New York,Germany,East,Same Day
ORD100115,2024-11-25,2024-12-02,In Transit,CUST2180,PROD227,Appliances Product,Home & Kitchen,Appliances,2,14.16,28.32,1.04,21.23,Maharashtra,Germany,Central,Second Class
ORD100116,2023-12-02,2023-12-05,Shipped,CUST4593,PROD806,Fitness Product,Sports,Fitness,3,373.88,1121.64,69.34,897.54,Tamil Nadu,Australia,South,Second Class
ORD100117,2023-12-25,2024-01-01,Shipped,CUST7370,PROD262,Indoor Product,Sports,Indoor,2,172.1,344.2,0.15,264.72,Tamil Nadu,Brazil,South,Same Day
ORD100118,2024-03-19,2024-03-26,In Transit,CUST1944,PROD728,Fiction Product,Books,Fiction,1,113.22,113.22,3.13,90.72,California,Japan,South,First Class
ORD100119,2023-01-01,2023-01-08,Returned,CUST7919,PROD411,Mobile Product,Electronics,Mobile,1,413.26,413.26,85.05,219.9,Delhi,UK,East,Standard
ORD100120,2023-10-12,2023-10-17,Delivered,CUST6745,PROD636,Fiction Product,Books,Fiction,1,425.06,425.06,28.53,352.53,Bavaria,Japan,South,Standard
ORD100121,2024-09-15,2024-09-22,In Transit,CUST6057,PROD941,Education Product,Books,Education,3,135.69,407.07,91.64,267.08,Maharashtra,Canada,North,Second Class
ORD100122,2024-10-22,2024-10-29,Returned,CUST2497,PROD832,Men Product,Fashion,Men,4,132.1,528.4,54.99,392.43,Delhi,UAE,South,Standard
ORD100123,2024-05-09,2024-05-15,Delivered,CUST4286,PROD166,Outdoor Product,Sports,Outdoor,2,242.99,485.98,133.67,222.01,Texas,Brazil,North,Standard
ORD100124,2024-06-19,2024-06-23,Returned,CUST9108,PROD658,Non-Fiction Product,Books,Non-Fiction,1,251.28,251.28,56.46,139.46,Maharashtra,Germany,West,Standard
ORD100125,2023-07-30,2023-08-01,Shipped,CUST7043,PROD513,Kids Product,Fashion,Kids,4,76.16,304.64,39.77,179.48,Ontario,UK,South,Second Class
ORD100126,2023-01-26,2023-01-29,Cancelled,CUST1888,PROD159,Women Product,Fashion,Women,4,23.75,95.0,17.52,57.8,Bavaria,UAE,South,Standard
ORD100127,2023-09-12,2023-09-16,Delivered,CUST5302,PROD756,Outdoor Product,Sports,Outdoor,2,11.62,23.24,0.75,16.46,Queensland,USA,North,Second Class
ORD100128,2023-03-21,2023-03-26,Returned,CUST4487,PROD982,Furniture Product,Home & Kitchen,Furniture,4,153.53,614.12,20.27,451.46,Ontario,Germany,East,Same Day
ORD100129,2023-02-05,2023-02-07,Shipped,CUST3597,PROD713,Fiction Product,Books,Fiction,5,356.44,1782.2,47.82,1412.64,Bavaria,India,Central,Standard
ORD100130,2023-06-07,2023-06-11,Delivered,CUST6760,PROD461,Appliances Product,Home & Kitchen,Appliances,3,141.82,425.46,61.01,255.1,Maharashtra,Japan,East,Same Day
ORD100131,2023-12-03,2023-12-05,In Transit,CUST8145,PROD786,Accessories Product,Electronics,Accessories,4,338.39,1353.56,266.35,828.34,Tamil Nadu,Singapore,North,Standard
ORD100132,2023-11-09,2023-11-14,Returned,CUST3198,PROD251,Mobile Product,Electronics,Mobile,3,100.06,300.18,49.74,208.02,Queensland,Italy,Central,Second Class
ORD100133,2024-10-20,2024-10-23,Delivered,CUST1477,PROD192,Women Product,Fashion,Women,1,67.08,67.08,0.8,56.26,Delhi,Singapore,Central,Same Day
ORD100134,2023-10-02,2023-10-09,Shipped,CUST9487,PROD939,Outdoor Product,Sports,Outdoor,1,166.81,166.81,12.62,133.76,New York,France,Central,First Class
ORD100135,2023-07-26,2023-08-02,Returned,CUST4610,PROD387,Furniture Product,Home & Kitchen,Furniture,3,41.36,124.08,4.56,98.47,Queensland,UK,Central,First Class
ORD100136,2024-11-29,2024-12-04,In Transit,CUST6661,PROD718,Indoor Product,Sports,Indoor,5,171.62,858.1,27.46,608.73,Bavaria,Australia,West,Same Day
ORD100137,2024-12-30,2025-01-03,Returned,CUST8974,PROD797,Decor Product,Home & Kitchen,Decor,2,416.3,832.6,234.99,364.49,Delhi,Singapore,Central,Second Class
ORD100138,2023-08-27,2023-08-30,Delivered,CUST8671,PROD369,Women Product,Fashion,Women,3,310.05,930.15,21.29,645.86,Tamil Nadu,UAE,Central,Same Day
ORD100139,2023-06-22,2023-06-26,Delivered,CUST9452,PROD111,Men Product,Fashion,Men,5,295.67,1478.35,291.25,851.64,Delhi,Germany,East,First Class
ORD100140,2023-09-16,2023-09-23,In Transit,CUST3402,PROD601,Decor Product,Home & Kitchen,Decor,2,360.82,721.64,11.5,584.97,Queensland,Italy,East,First Class
ORD100141,2024-05-06,2024-05-13,Cancelled,CUST5908,PROD399,Accessories Product,Electronics,Accessories,5,319.44,1597.2,310.31,1013.27,Karnataka,USA,East,Second Class
ORD100142,2024-07-21,2024-07-25,Returned,CUST3010,PROD340,Mobile Product,Electronics,Mobile,5,173.09,865.45,138.23,535.75,Delhi,USA,West,Same Day
ORD100143,2023-03-05,2023-03-10,Cancelled,CUST7320,PROD113,Kids Product,Fashion,Kids,4,449.11,1796.44,392.0,1013.36,Delhi,Germany,Central,Standard
ORD100144,2023-04-01,2023-04-05,In Transit,CUST9992,PROD857,Non-Fiction Product,Books,Non-Fiction,5,118.32,591.6,30.53,450.12,Tamil Nadu,Australia,East,First Class
ORD100145,2023-10-23,2023-10-28,In Transit,CUST6383,PROD732,Fitness Product,Sports,Fitness,5,371.51,1857.55,514.53,924.33,Tamil Nadu,Italy,West,Second Class
ORD100146,2023-09-04,2023-09-07,In Transit,CUST7445,PROD390,Decor Product,Home & Kitchen,Decor,2,373.82,747.64,113.96,539.44,Karnataka,Italy,South,Same Day
ORD100147,2023-07-23,2023-07-27,Cancelled,CUST2557,PROD526,Outdoor Product,Sports,Outdoor,1,196.01,196.01,38.78,131.58,Karnataka,USA,East,Second Class
ORD100148,2023-10-30,2023-11-06,Returned,CUST9474,PROD824,Outdoor Product,Sports,Outdoor,2,350.46,700.92,185.76,330.06,Texas,USA,South,First Class
ORD100149,2023-05-07,2023-05-10,Delivered,CUST2182,PROD422,Fiction Product,Books,Fiction,1,217.45,217.45,0.79,171.78,Ontario,India,East,First Class
ORD100150,2024-08-20,2024-08-26,Cancelled,CUST8311,PROD163,Indoor Product,Sports,Indoor,4,379.33,1517.32,83.97,1112.05,Texas,UAE,North,Same Day
ORD100151,2024-11-07,2024-11-13,Cancelled,CUST7476,PROD633,Outdoor Product,Sports,Outdoor,1,241.16,241.16,40.73,145.77,New York,Italy,East,Standard
ORD100152,2024-09-12,2024-09-15,Cancelled,CUST4261,PROD610,Kids Product,Fashion,Kids,2,154.31,308.62,1.14,252.78,Karnataka,USA,Central,Second Class
ORD100153,2024-12-19,2024-12-20,Shipped,CUST8035,PROD839,Appliances Product,Home & Kitchen,Appliances,3,412.09,1236.27,363.25,529.55,Queensland,France,East,Standard
ORD100154,2023-02-28,2023-03-05,Delivered,CUST4746,PROD750,Appliances Product,Home & Kitchen,Appliances,3,180.06,540.18,106.48,344.79,Ontario,Brazil,West,Same Day
ORD100155,2024-05-05,2024-05-10,Shipped,CUST4875,PROD764,Appliances Product,Home & Kitchen,Appliances,2,321.94,643.88,0.8,564.4,Tamil Nadu,UAE,West,Same Day
ORD100156,2024-11-25,2024-11-28,Cancelled,CUST7094,PROD578,Appliances Product,Home & Kitchen,Appliances,3,417.69,1253.07,342.46,625.46,Tamil Nadu,France,Central,Same Day
ORD100157,2023-05-21,2023-05-22,Delivered,CUST7046,PROD859,Laptop Product,Electronics,Laptop,5,136.36,681.8,36.22,550.52,Delhi,Canada,North,First Class
ORD100158,2023-10-12,2023-10-13,Delivered,CUST1939,PROD615,Accessories Product,Electronics,Accessories,4,390.39,1561.56,179.14,1027.75,Maharashtra,Australia,South,Second Class
